num,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
86,4Gcv5SsxnQWpmOnUI19EJk,All You Need To Know (feat. Calle Lehmann),Gryffin,"['Gryffin', 'SLANDER', 'Calle Lehmann']",0.513,0.788,0,-4.629,1,0.00968,0.0,0.11,0.234,139.987,238459,4,68
87,70YPzqSEwJvAIQ6nMs1cjY,In Your Arms (with X Ambassadors),ILLENIUM,"['ILLENIUM', 'X Ambassadors']",0.404,0.806,2,-4.75,1,0.198,0.0,0.114,0.112,148.036,220730,4,72
88,4DZghpw50ZnO3ckfDuNkft,New Religion,The Heydaze,['The Heydaze'],0.537,0.863,7,-4.46,1,0.00201,0.0,0.201,0.484,97.02,203587,4,56
89,4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),Taylor Swift,"['Taylor Swift', 'Bon Iver']",0.298,0.38,6,-8.426,1,0.778,5.62e-05,0.11,0.152,75.602,285634,4,80
90,2jZgzSxNSg1hTCq0ewWHGJ,Junk Of The Heart (Happy),The Kooks,['The Kooks'],0.604,0.894,2,-5.0,1,0.0212,0.0,0.0299,0.901,145.017,187253,4,65
91,2lTtnKQgjbrBA1qnOFhBkP,affection,BETWEEN FRIENDS,['BETWEEN FRIENDS'],0.273,0.565,2,-7.283,1,0.516,1.68e-06,0.0855,0.298,179.518,235226,4,74
92,1MSM3Fo2fvnwVqMcz8Jhjq,Cecilia And The Satellite,Andrew McMahon in the Wilderness,['Andrew McMahon in the Wilderness'],0.381,0.844,5,-7.123,1,0.0131,0.0,0.318,0.239,194.0,223880,4,62
93,5fgHQws1Cj6KDLQmlqM6lF,Problems,DeathbyRomy,['DeathbyRomy'],0.761,0.554,0,-4.583,1,0.226,0.000232,0.181,0.381,145.015,188505,4,71
94,7uoFMmxln0GPXQ0AcCBXRq,Snowman,Sia,['Sia'],0.716,0.512,1,-6.257,1,0.483,0.0,0.0928,0.326,104.957,165907,3,84
95,6TGapnqEUkkSBanKyn5qYy,OutRight,Wild Party,['Wild Party'],0.546,0.823,2,-4.979,1,0.000791,0.0,0.0502,0.569,147.951,162453,4,55
96,7IDKIfRltN07TdsdTVtRHh,All Over,CRUISR,['CRUISR'],0.552,0.931,2,-5.166,1,0.00836,0.0,0.0551,0.666,158.036,182653,4,55
97,5UpKFCQf34yJ3LtXtBuS5v,Fucked Up,Young Rising Sons,['Young Rising Sons'],0.495,0.92,8,-4.033,1,0.0143,0.0,0.178,0.594,159.97,202867,4,45
98,3geJxU83R4EzSjIymcXSt2,Trampoline,The Unlikely Candidates,['The Unlikely Candidates'],0.391,0.898,3,-2.953,1,0.0529,0.0,0.0621,0.638,179.936,210590,4,48
99,2tPy8C6z3eUWGC1iQr4ysZ,Adhd,Truslow,['Truslow'],0.64,0.849,5,-2.766,1,0.285,0.0,0.0768,0.667,97.045,193551,4,51
0,54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Billie Eilish,['Billie Eilish'],0.889,0.34,11,-7.773,0,0.218,0.13,0.055,0.716,94.009,174321,4,89
1,2ygvZOXrIeVL4xZmAWJT2C,my future,Billie Eilish,['Billie Eilish'],0.444,0.309,8,-10.956,1,0.795,0.132,0.352,0.0875,104.745,208155,4,79
2,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,['Billie Eilish'],0.704,0.225,6,-14.454,0,0.902,0.657,0.106,0.243,120.006,245426,4,85
3,73SpzrcaHk0RQPFP73vqVR,No Time To Die,Billie Eilish,['Billie Eilish'],0.38,0.219,4,-13.273,0,0.917,0.0104,0.0827,0.0517,73.537,242265,4,78
4,0jagsVVkxwxhmTIicnOaon,Lo Vas A Olvidar (with ROSALÍA),Billie Eilish,"['Billie Eilish', 'ROSALÍA']",0.351,0.248,4,-14.653,0,0.718,0.00246,0.0675,0.032,111.117,203464,5,68
5,4EYiIACD4vGzOmiKYzRdkW,ilomilo - Live From The Film - Billie Eilish: The World’s A Little Blurry,Billie Eilish,['Billie Eilish'],0.749,0.832,5,-8.415,0,0.213,0.276,0.728,0.487,120.046,164052,4,68
6,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,['Billie Eilish'],0.701,0.425,7,-10.965,1,0.328,0.13,0.1,0.562,135.128,194088,4,87
7,6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,Billie Eilish,['Billie Eilish'],0.726,0.444,8,-8.922,0,0.283,0.143,0.177,0.569,185.044,168840,4,78
8,3XF5xLJHOQQRbWya6hBp7d,you should see me in a crown,Billie Eilish,['Billie Eilish'],0.678,0.533,4,-10.485,1,0.462,0.219,0.139,0.323,150.455,180953,4,79
9,4QIo4oxwzzafcBWkKjDpXY,xanny,Billie Eilish,['Billie Eilish'],0.521,0.125,9,-17.832,1,0.751,0.00207,0.265,0.0528,111.554,243725,4,76
10,3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,Billie Eilish,['Billie Eilish'],0.853,0.351,7,-10.198,1,0.39,9.38e-06,0.752,0.282,118.028,221543,4,78
11,43zdsphuZLzwA9k4DJhU0I,when the party's over,Billie Eilish,['Billie Eilish'],0.367,0.111,4,-14.084,1,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,85
12,6X29iaaazwho3ab7GNue5r,8,Billie Eilish,['Billie Eilish'],0.735,0.235,3,-13.239,1,0.698,0.00604,0.107,0.462,62.446,173202,4,73
13,3Tc57t9l2O8FwQZtQOvPXK,my strange addiction,Billie Eilish,['Billie Eilish'],0.939,0.305,8,-10.952,0,0.35,0.000169,0.105,0.563,100.029,179889,4,76
14,4SSnFejRGlZikf02HLewEF,bury a friend,Billie Eilish,['Billie Eilish'],0.905,0.389,8,-14.505,1,0.74,0.162,0.106,0.196,120.046,193143,4,79
15,7qEKqBCD2vE5vIBsrUitpD,ilomilo,Billie Eilish,['Billie Eilish'],0.855,0.423,5,-15.044,0,0.724,0.469,0.0896,0.572,120.02,156371,4,75
16,0tMSssfxAL2oV8Vri0mFHE,listen before i go,Billie Eilish,['Billie Eilish'],0.319,0.0561,0,-23.023,1,0.935,0.00384,0.388,0.082,79.764,242652,3,78
17,6CcJMwBtXByIz4zQLzFkKc,i love you,Billie Eilish,['Billie Eilish'],0.421,0.131,0,-18.435,1,0.952,0.00453,0.109,0.12,137.446,291796,4,81
18,3LgWsmilsrWXiPYQFRD0T7,goodbye,Billie Eilish,['Billie Eilish'],0.153,0.138,6,-21.877,0,0.837,0.55,0.254,0.0503,74.318,119410,3,71
19,3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),Billie Eilish,"['Billie Eilish', 'Justin Bieber']",0.67,0.453,0,-11.265,1,0.252,0.33,0.117,0.68,135.055,194840,4,72
20,0rQtoQXQfwpDW0c7Fw1NeM,!!!!!!!,Billie Eilish,['Billie Eilish'],0.0,0.278,1,-21.63,1,0.768,0.0,0.669,0.0,0.0,13578,0,17
21,41zXlQxzTi6cGAjpOXyLYH,idontwannabeyouanymore,Billie Eilish,['Billie Eilish'],0.483,0.412,7,-8.461,1,0.737,0.0,0.116,0.247,170.163,203569,3,79
22,51NFxnQvaosfDDutk0tams,bellyache,Billie Eilish,['Billie Eilish'],0.695,0.573,4,-8.597,0,0.46,0.0734,0.482,0.408,99.939,179172,4,75
23,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,"['Billie Eilish', 'Khalid']",0.351,0.296,4,-10.109,0,0.934,0.0,0.095,0.12,115.284,200186,4,88
24,1RGasjWLZ4qMN7wbtkLa3u,my boy,Billie Eilish,['Billie Eilish'],0.692,0.394,11,-8.745,0,0.472,0.000191,0.117,0.324,89.936,170852,4,74
25,5t3Vk8bRKylx4fjj7qlbib,bitches broken hearts,Billie Eilish,['Billie Eilish'],0.778,0.422,0,-10.114,1,0.921,0.00924,0.0958,0.187,120.033,176472,4,75
26,7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,['Billie Eilish'],0.511,0.363,4,-7.65,0,0.816,0.0317,0.084,0.169,144.892,200379,4,81
27,5w7wuzMzsDer96KqxafeRK,COPYCAT,Billie Eilish,['Billie Eilish'],0.679,0.388,4,-10.977,0,0.353,9.25e-05,0.341,0.234,124.909,194711,4,75
28,7tGEAA1f8MydT7eVbbO9Zy,WHEN I WAS OLDER - Music Inspired By The Film ROMA,Billie Eilish,['Billie Eilish'],0.696,0.332,6,-12.834,1,0.853,0.433,0.0848,0.0628,150.13,270520,4,67
29,2VlLbhGLVJgdOW7kKdWWFc,Six Feet Under,Billie Eilish,['Billie Eilish'],0.576,0.307,11,-12.732,0,0.807,0.000355,0.0792,0.157,67.513,189613,4,76
30,04sN26COy28wTXYj3dMoiZ,Bored,Billie Eilish,['Billie Eilish'],0.614,0.318,7,-12.695,1,0.896,0.00239,0.0795,0.112,119.959,180933,4,76
31,7wC5eZcFS1Q1BsQ35DU6H4,come out and play,Billie Eilish,['Billie Eilish'],0.64,0.321,0,-14.604,1,0.693,0.0307,0.114,0.177,145.045,210376,4,71
32,7eB1V5LvAdxCc7brfGhRRo,watch,Billie Eilish,['Billie Eilish'],0.441,0.599,0,-8.985,1,0.333,0.00198,0.103,0.35,165.212,177523,4,73
33,1WsEgieHsWWndAzLkmV105,hostage,Billie Eilish,['Billie Eilish'],0.427,0.123,9,-15.228,0,0.868,3.12e-05,0.0732,0.0394,129.565,229426,5,74
34,7uX3gufAoBVqKVoD3dBLLD,&burn (with Vince Staples),Billie Eilish,"['Billie Eilish', 'Vince Staples']",0.776,0.379,9,-9.351,0,0.213,0.00175,0.0969,0.346,82.531,179016,4,65
35,1T3E8z6VMXSsACrBSQHTkN,MyBoi - TroyBoi Remix,Billie Eilish,"['Billie Eilish', 'TroyBoi']",0.879,0.58,2,-4.797,1,0.00626,0.0433,0.0653,0.312,92.004,211304,4,64
36,3WxmlTZ85sCYFnuIXmUAEe,party favor,Billie Eilish,['Billie Eilish'],0.826,0.188,0,-12.181,1,0.882,2.83e-06,0.103,0.205,130.022,204770,4,71
37,6NOq79ynBpBi6BSJMdgReN,Ocean Eyes - Astronomyy Remix,Billie Eilish,"['Billie Eilish', 'Astronomyy']",0.594,0.481,4,-8.525,0,0.629,0.0126,0.0939,0.0671,144.941,296267,4,65
38,61X077SWMs5aAGQHhf4pd0,Bellyache - Marian Hill Remix,Billie Eilish,"['Billie Eilish', 'Marian Hill']",0.832,0.368,4,-8.627,0,0.2,0.0513,0.353,0.2,100.045,220800,4,64
39,4JuZQeSRYJfLCqBgBIxxrR,Ocean Eyes - Blackbear Remix,Billie Eilish,"['Billie Eilish', 'blackbear']",0.661,0.419,4,-9.807,0,0.114,1.19e-05,0.0848,0.145,144.98,195307,4,67
40,2njUxZ4151DWIrfIK3loFj,COPYCAT - Sofi Tukker Remix,Billie Eilish,"['Billie Eilish', 'Sofi Tukker']",0.682,0.955,4,-5.02,0,0.0585,3.18e-05,0.226,0.451,124.999,198684,4,64
41,58nxGpcCfNDiqmFXklOslz,Six Feet Under - Jerry Folk Remix,Billie Eilish,"['Billie Eilish', 'Jerry Folk']",0.447,0.216,11,-12.815,0,0.66,0.011,0.139,0.0396,134.868,200898,4,62
42,1JbuC7uZm0P1PyX7N7gDEM,Ocean Eyes - GOLDHOUSE Remix,Billie Eilish,"['Billie Eilish', 'GOLDHOUSE']",0.425,0.954,7,-2.573,1,0.0344,0.358,0.187,0.572,199.843,213600,4,60
0,748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),Doja Cat,"['Doja Cat', 'SZA']",0.762,0.701,8,-3.541,1,0.235,0.000158,0.123,0.742,110.968,208867,4,93
1,3BZEcbdtXQSo7OrvKRJ6mb,MONTERO (Call Me By Your Name),Lil Nas X,['Lil Nas X'],0.61,0.508,8,-6.682,0,0.297,0.0,0.384,0.758,178.818,137876,4,93
2,37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,"['The Weeknd', 'Ariana Grande']",0.65,0.825,0,-4.645,1,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4,84
3,27tDoZsybt3KvJWTDoW9id,Heartbreak Anniversary,Giveon,['Giveon'],0.443,0.459,0,-8.955,1,0.546,1.05e-06,0.307,0.565,87.064,198371,5,82
4,43PGPuHIlVOc04jrZVh9L6,RAPSTAR,Polo G,['Polo G'],0.789,0.536,6,-6.862,1,0.41,0.0,0.129,0.437,81.039,165926,4,95
5,463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),Dua Lipa,"['Dua Lipa', 'DaBaby']",0.702,0.825,6,-3.787,0,0.00883,0.0,0.0674,0.915,102.977,203064,4,90
6,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"['Justin Bieber', 'Daniel Caesar', 'Giveon']",0.677,0.696,0,-6.181,1,0.321,0.0,0.42,0.464,90.03,198082,4,100
7,7MAibcTli4IisCtbHKrGMh,Leave The Door Open,Bruno Mars,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",0.586,0.616,5,-7.964,1,0.182,0.0,0.0927,0.719,148.088,242096,4,96
8,3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Masked Wolf,['Masked Wolf'],0.778,0.695,4,-6.865,0,0.175,0.0,0.15,0.472,149.996,132780,4,97
9,5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,Travis Scott,"['Travis Scott', 'HVME']",0.841,0.593,1,-7.846,1,0.418,0.0,0.124,0.808,124.917,162803,4,91
10,61KpQadow081I2AsbeLcsb,deja vu,Olivia Rodrigo,['Olivia Rodrigo'],0.439,0.61,9,-7.236,1,0.593,1.07e-05,0.341,0.172,181.088,215508,4,93
11,6fRxMU4LWwyaSSowV441IU,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,"['Maroon 5', 'Megan Thee Stallion']",0.713,0.676,10,-5.483,1,0.0377,0.0,0.154,0.721,99.048,227395,4,90
12,4u4NyuceXP7Uzh7XFJKCr1,Hold On,Justin Bieber,['Justin Bieber'],0.658,0.634,1,-5.797,0,0.0106,0.0,0.132,0.29,139.98,170813,4,90
13,1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,['Cardi B'],0.868,0.795,11,-6.044,1,0.0012,0.0193,0.0461,0.819,166.0,156945,4,91
14,2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),Saweetie,"['Saweetie', 'Doja Cat']",0.84,0.766,4,-4.12,1,0.00302,3.61e-06,0.0684,0.402,94.018,155884,4,89
15,27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,The Kid LAROI,['The Kid LAROI'],0.662,0.413,0,-7.357,1,0.213,0.0,0.134,0.467,93.005,161385,4,93
16,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,['Glass Animals'],0.761,0.525,11,-6.9,1,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,83
17,4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,"['Riton', 'Nightcrawlers', 'Mufasa & Hypeman', 'Dopamine']",0.824,0.862,2,-3.424,1,0.0076,0.000132,0.303,0.801,122.98,169153,4,93
18,1diS6nkxMQc3wwC4G1j0bh,We're Good,Dua Lipa,['Dua Lipa'],0.722,0.588,6,-5.932,1,0.0319,0.0,0.183,0.59,134.01,165507,4,89
19,3Yyj76BeYt3QIffwKpRuKL,Arcade,Duncan Laurence,['Duncan Laurence'],0.453,0.35,9,-11.639,0,0.827,0.00122,0.144,0.279,72.017,185147,3,76
20,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis,['Kali Uchis'],0.653,0.524,11,-9.016,0,0.112,0.0,0.203,0.553,83.97,160191,4,95
21,6f3Slt0GbA2bPZlz0aIFXN,The Business,Tiësto,['Tiësto'],0.798,0.62,8,-7.079,0,0.414,0.0192,0.112,0.235,120.031,164000,4,94
22,7Bk0uXKk1uPT0XuQbpFzvs,Fiel,Los Legendarios,"['Los Legendarios', 'Wisin', 'Jhay Cortez']",0.849,0.701,6,-4.407,0,0.407,0.0,0.112,0.505,98.005,261667,4,94
23,1KixkQVDUHggZMU9dUobgm,My Head & My Heart,Ava Max,['Ava Max'],0.614,0.934,9,-3.709,0,0.0697,0.0,0.121,0.436,116.001,174760,4,89
24,2vBET2pmrQqafaS6zIaYta,GIRL LIKE ME,Black Eyed Peas,"['Black Eyed Peas', 'Shakira']",0.964,0.486,2,-8.891,1,0.0194,0.04,0.0694,0.318,124.058,220659,4,74
25,60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,['Doja Cat'],0.749,0.463,11,-8.433,1,0.208,0.0371,0.337,0.19,90.028,226987,4,92
26,0BI0hfbmqybnd3TezrDME3,Met Him Last Night (feat. Ariana Grande),Demi Lovato,"['Demi Lovato', 'Ariana Grande']",0.538,0.512,4,-4.548,0,0.22,0.0,0.101,0.12,144.978,204632,4,84
27,2cc8Sw1OnCuA5bV8nqWqpE,You,Regard,"['Regard', 'Troye Sivan', 'Tate McRae']",0.691,0.695,0,-5.6,1,0.0592,0.0,0.0647,0.514,106.064,233386,4,80
28,5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),ATB,"['ATB', 'Topic', 'A7S']",0.669,0.784,7,-5.603,1,0.194,6.28e-06,0.115,0.517,125.993,150053,4,90
